start,source,z,w1,dest,link,psize,w2,len_cloudlet,priority
18.0,web1,0,1,l_web1_app2,app2,20000000,1,80000,3
18.2,app4,0,1,l_app4_web4,web4,50000000,1,2000,2
18.4,web4,0,1,l_web4_app4,app4,75000000,1,200,1
18.8,app3,0,1,l_app3_db4,db4,200000000,1,5000,2
19.0,app3,0,1,l_app3_web4,web4,200000000,1,20000,3
19.4,web3,0,1,l_web3_app4,app4,20000000,1,50000,3
19.7,db2,0,1,l_db2_app2,app2,50000000,1,20000,3
20.2,web1,0,1,l_web1_app2,app2,150000000,1,50000,2
20.6,web4,0,1,l_web4_app0,app0,10000000,1,20000,1
20.8,db2,0,1,l_db2_app2,app2,5000000,1,200,2
21.2,app3,0,1,l_app3_web4,web4,50000000,1,1000,2
21.6,web2,0,1,l_web2_app3,app3,50000000,1,500,2
22.1,db2,0,1,l_db2_app3,app3,75000000,1,2000,1
22.6,app4,0,1,l_app4_web4,web4,150000000,1,200,2
22.8,db2,0,1,l_db2_app3,app3,5000000,1,500,3
23.4,db4,0,1,l_db4_app4,app4,10000000,1,20000,3
24.0,web3,0,1,l_web3_app3,app3,10000000,1,10000,3
24.4,web2,0,1,l_web2_app2,app2,5000000,1,1000,2
24.9,db4,0,1,l_db4_app4,app4,100000000,1,5000,2
25.4,app0,0,1,l_app0_web0,web0,150000000,1,10000,2
25.8,app2,0,1,l_app2_web3,web3,200000000,1,20000,1
26.3,app2,0,1,l_app2_web2,web2,10000000,1,2000,2
26.9,app3,0,1,l_app3_svc3,svc3,150000000,1,5000,2
27.4,app2,0,1,l_app2_db3,db3,5000000,1,50000,3
27.8,app2,0,1,l_app2_web2,web2,50000000,1,5000,3
28.3,app0,0,1,l_app0_svc0,svc0,75000000,1,20000,1
28.6,app4,0,1,l_app4_web0,web0,75000000,1,1000,2
28.9,web4,0,1,l_web4_app0,app0,50000000,1,5000,3
29.5,svc1,0,1,l_svc1_app1,app1,100000000,1,50000,3
30.0,app0,0,1,l_app0_svc0,svc0,10000000,1,500,3
30.4,db4,0,1,l_db4_app4,app4,200000000,1,80000,3
30.8,app1,0,1,l_app1_db2,db2,50000000,1,200,2
31.1,web3,0,1,l_web3_app4,app4,50000000,1,500,1
31.3,app2,0,1,l_app2_db3,db3,50000000,1,1000,1
31.7,svc0,0,1,l_svc0_app0,app0,75000000,1,200,3
32.2,svc3,0,1,l_svc3_app3,app3,75000000,1,80000,3
32.7,app0,0,1,l_app0_web1,web1,50000000,1,500,3
33.3,app1,0,1,l_app1_svc1,svc1,100000000,1,2000,2
33.8,app4,0,1,l_app4_web4,web4,50000000,1,500,3
34.3,app4,0,1,l_app4_db0,db0,75000000,1,20000,2
34.7,app4,0,1,l_app4_db4,db4,200000000,1,80000,1
35.2,web1,0,1,l_web1_app2,app2,150000000,1,500,2
35.7,app2,0,1,l_app2_web2,web2,50000000,1,200,2
36.1,app2,0,1,l_app2_web3,web3,20000000,1,5000,2
36.4,app0,0,1,l_app0_web1,web1,5000000,1,20000,2
36.9,app4,0,1,l_app4_db4,db4,50000000,1,2000,3
37.2,app4,0,1,l_app4_db0,db0,150000000,1,2000,2
37.6,app3,0,1,l_app3_web4,web4,75000000,1,200,3
38.1,svc4,0,1,l_svc4_app4,app4,50000000,1,500,3
38.4,app2,0,1,l_app2_db2,db2,20000000,1,10000,1
38.6,web1,0,1,l_web1_app2,app2,5000000,1,5000,2
39.1,app3,0,1,l_app3_db4,db4,10000000,1,10000,1
39.4,app1,0,1,l_app1_web2,web2,50000000,1,500,1
39.8,app2,0,1,l_app2_svc2,svc2,5000000,1,10000,1
40.2,app0,0,1,l_app0_db0,db0,10000000,1,10000,3
40.5,web3,0,1,l_web3_app4,app4,200000000,1,80000,1
41.0,web0,0,1,l_web0_app1,app1,150000000,1,1000,3
41.2,app4,0,1,l_app4_db4,db4,20000000,1,200,3
41.5,app0,0,1,l_app0_web0,web0,150000000,1,80000,3
41.7,db4,0,1,l_db4_app4,app4,20000000,1,500,2
42.0,web4,0,1,l_web4_app0,app0,100000000,1,5000,2
42.6,app1,0,1,l_app1_svc1,svc1,50000000,1,50000,1
43.0,db1,0,1,l_db1_app2,app2,10000000,1,10000,3
43.4,svc0,0,1,l_svc0_app0,app0,10000000,1,1000,3
44.0,db3,0,1,l_db3_app3,app3,5000000,1,80000,3
44.2,app3,0,1,l_app3_db3,db3,20000000,1,80000,2
44.7,svc2,0,1,l_svc2_app2,app2,150000000,1,5000,3
45.0,app3,0,1,l_app3_db3,db3,20000000,1,20000,1
45.3,app4,0,1,l_app4_svc4,svc4,75000000,1,200,3
45.8,db0,0,1,l_db0_app0,app0,10000000,1,1000,2
46.1,app4,0,1,l_app4_db0,db0,200000000,1,1000,2
46.6,web4,0,1,l_web4_app0,app0,100000000,1,5000,2
47.0,db3,0,1,l_db3_app3,app3,50000000,1,1000,2
47.5,app3,0,1,l_app3_web3,web3,100000000,1,80000,2
48.1,db2,0,1,l_db2_app3,app3,50000000,1,500,2
48.7,web0,0,1,l_web0_app0,app0,200000000,1,200,2
49.2,web2,0,1,l_web2_app2,app2,5000000,1,20000,2
49.5,svc2,0,1,l_svc2_app2,app2,50000000,1,80000,3
49.8,app0,0,1,l_app0_web1,web1,150000000,1,1000,3
50.3,db4,0,1,l_db4_app4,app4,10000000,1,20000,1
50.9,app1,0,1,l_app1_web2,web2,20000000,1,80000,2
51.3,app3,0,1,l_app3_svc3,svc3,150000000,1,50000,2
51.9,app0,0,1,l_app0_db1,db1,100000000,1,1000,3
52.2,db2,0,1,l_db2_app2,app2,100000000,1,200,1
52.8,app1,0,1,l_app1_db2,db2,150000000,1,200,1
53.1,app2,0,1,l_app2_web3,web3,10000000,1,5000,3
53.5,app1,0,1,l_app1_svc1,svc1,20000000,1,50000,2
53.7,app4,0,1,l_app4_web0,web0,5000000,1,2000,3
54.0,web1,0,1,l_web1_app1,app1,100000000,1,5000,1
54.6,app3,0,1,l_app3_svc3,svc3,75000000,1,10000,2
54.9,app1,0,1,l_app1_svc1,svc1,10000000,1,10000,2
55.4,svc2,0,1,l_svc2_app2,app2,10000000,1,50000,3
55.6,app4,0,1,l_app4_web0,web0,50000000,1,200,1
56.2,svc3,0,1,l_svc3_app3,app3,200000000,1,50000,3
56.6,app4,0,1,l_app4_db0,db0,20000000,1,2000,3
57.1,app0,0,1,l_app0_web0,web0,20000000,1,200,1
57.5,web3,0,1,l_web3_app4,app4,75000000,1,1000,2
57.9,app1,0,1,l_app1_web2,web2,100000000,1,2000,3
58.2,db3,0,1,l_db3_app4,app4,20000000,1,2000,3
58.6,app1,0,1,l_app1_web2,web2,75000000,1,2000,1
59.2,web1,0,1,l_web1_app1,app1,100000000,1,80000,3
59.8,db2,0,1,l_db2_app2,app2,150000000,1,50000,3
60.0,app0,0,1,l_app0_web0,web0,10000000,1,10000,3
60.5,app1,0,1,l_app1_db1,db1,10000000,1,20000,2
60.9,app0,0,1,l_app0_db1,db1,50000000,1,500,3
61.1,web2,0,1,l_web2_app3,app3,200000000,1,50000,1
61.3,web1,0,1,l_web1_app1,app1,200000000,1,80000,1
61.7,db1,0,1,l_db1_app2,app2,100000000,1,10000,2
61.9,svc2,0,1,l_svc2_app2,app2,200000000,1,50000,3
62.3,app2,0,1,l_app2_db3,db3,100000000,1,50000,3
62.6,db3,0,1,l_db3_app3,app3,150000000,1,50000,3
63.1,db4,0,1,l_db4_app0,app0,75000000,1,2000,3
63.7,db2,0,1,l_db2_app2,app2,200000000,1,10000,2
63.9,app2,0,1,l_app2_web3,web3,20000000,1,2000,1
64.2,app0,0,1,l_app0_web0,web0,75000000,1,1000,2
64.6,app3,0,1,l_app3_db3,db3,75000000,1,5000,1
65.1,db1,0,1,l_db1_app1,app1,10000000,1,200,3
65.5,app1,0,1,l_app1_db1,db1,5000000,1,500,2
66.0,svc3,0,1,l_svc3_app3,app3,20000000,1,200,3
66.5,svc4,0,1,l_svc4_app4,app4,20000000,1,5000,3
67.0,web0,0,1,l_web0_app0,app0,10000000,1,10000,2
67.5,svc4,0,1,l_svc4_app4,app4,75000000,1,5000,2
67.8,web0,0,1,l_web0_app0,app0,5000000,1,1000,3
68.2,app3,0,1,l_app3_db3,db3,150000000,1,10000,3
68.7,app2,0,1,l_app2_web2,web2,10000000,1,80000,2
69.1,app2,0,1,l_app2_db3,db3,75000000,1,20000,3
69.4,web0,0,1,l_web0_app1,app1,5000000,1,50000,2
69.9,app0,0,1,l_app0_db1,db1,75000000,1,20000,2
70.4,app3,0,1,l_app3_web4,web4,75000000,1,20000,1
70.9,app3,0,1,l_app3_svc3,svc3,5000000,1,500,2
71.2,web3,0,1,l_web3_app4,app4,100000000,1,20000,3
71.4,svc0,0,1,l_svc0_app0,app0,10000000,1,500,3
71.8,db1,0,1,l_db1_app2,app2,150000000,1,10000,1
72.1,svc1,0,1,l_svc1_app1,app1,10000000,1,200,1
72.4,app4,0,1,l_app4_web0,web0,5000000,1,2000,1
72.6,web3,0,1,l_web3_app3,app3,50000000,1,80000,3
73.0,app2,0,1,l_app2_db3,db3,20000000,1,2000,3
73.3,app4,0,1,l_app4_db0,db0,50000000,1,80000,1
73.8,web0,0,1,l_web0_app0,app0,20000000,1,50000,3
74.1,app3,0,1,l_app3_svc3,svc3,200000000,1,10000,3
74.7,app4,0,1,l_app4_web4,web4,5000000,1,500,1
75.1,web1,0,1,l_web1_app1,app1,10000000,1,5000,3
75.6,app3,0,1,l_app3_db4,db4,20000000,1,10000,2
75.9,web4,0,1,l_web4_app4,app4,20000000,1,200,3
76.5,db0,0,1,l_db0_app1,app1,10000000,1,50000,1
76.7,db1,0,1,l_db1_app1,app1,20000000,1,5000,3
76.9,web4,0,1,l_web4_app4,app4,150000000,1,1000,3
77.4,app2,0,1,l_app2_db2,db2,10000000,1,1000,1
77.7,web4,0,1,l_web4_app4,app4,200000000,1,500,1
78.1,app3,0,1,l_app3_web4,web4,100000000,1,2000,3
78.7,db3,0,1,l_db3_app4,app4,200000000,1,50000,3
79.1,app0,0,1,l_app0_web0,web0,10000000,1,80000,1
79.3,app3,0,1,l_app3_web4,web4,100000000,1,5000,3
79.8,db3,0,1,l_db3_app4,app4,200000000,1,50000,3
80.3,web0,0,1,l_web0_app0,app0,5000000,1,80000,3
80.9,db3,0,1,l_db3_app3,app3,5000000,1,10000,3
81.2,app2,0,1,l_app2_web3,web3,200000000,1,20000,3
81.6,app0,0,1,l_app0_db1,db1,200000000,1,20000,2
81.9,web2,0,1,l_web2_app3,app3,10000000,1,1000,1
82.2,db2,0,1,l_db2_app2,app2,20000000,1,2000,2
82.5,app0,0,1,l_app0_svc0,svc0,200000000,1,20000,1
83.0,db2,0,1,l_db2_app2,app2,5000000,1,500,3
83.6,app0,0,1,l_app0_web0,web0,75000000,1,2000,3
83.9,svc0,0,1,l_svc0_app0,app0,200000000,1,10000,2
84.4,db4,0,1,l_db4_app0,app0,10000000,1,10000,3
84.8,app1,0,1,l_app1_svc1,svc1,100000000,1,50000,2
85.2,web4,0,1,l_web4_app4,app4,100000000,1,500,3
85.6,svc0,0,1,l_svc0_app0,app0,10000000,1,10000,1
85.8,app0,0,1,l_app0_db0,db0,150000000,1,50000,2
86.2,db3,0,1,l_db3_app4,app4,100000000,1,20000,3
86.6,db2,0,1,l_db2_app2,app2,150000000,1,500,3
87.0,db4,0,1,l_db4_app4,app4,20000000,1,500,2
87.3,app3,0,1,l_app3_web4,web4,10000000,1,80000,2
87.8,app4,0,1,l_app4_svc4,svc4,20000000,1,50000,1
88.1,app0,0,1,l_app0_web1,web1,20000000,1,5000,1
88.5,app0,0,1,l_app0_svc0,svc0,50000000,1,1000,1
88.7,web2,0,1,l_web2_app3,app3,5000000,1,200,3
89.3,app4,0,1,l_app4_db0,db0,50000000,1,2000,1
89.5,db2,0,1,l_db2_app3,app3,5000000,1,1000,3
89.8,web1,0,1,l_web1_app1,app1,150000000,1,1000,3
90.2,web4,0,1,l_web4_app4,app4,200000000,1,10000,2
90.8,web3,0,1,l_web3_app3,app3,20000000,1,80000,2
91.2,web3,0,1,l_web3_app4,app4,5000000,1,200,2
91.8,app2,0,1,l_app2_web2,web2,5000000,1,1000,3
92.2,db2,0,1,l_db2_app2,app2,5000000,1,20000,1
92.8,db3,0,1,l_db3_app4,app4,5000000,1,10000,3
93.1,svc4,0,1,l_svc4_app4,app4,5000000,1,20000,2
93.7,app0,0,1,l_app0_db1,db1,50000000,1,50000,3
94.1,web3,0,1,l_web3_app3,app3,75000000,1,50000,2
94.7,db0,0,1,l_db0_app1,app1,5000000,1,80000,3
95.1,svc4,0,1,l_svc4_app4,app4,75000000,1,10000,1
95.3,web4,0,1,l_web4_app4,app4,10000000,1,10000,2
95.7,web0,0,1,l_web0_app1,app1,100000000,1,200,1
96.1,web1,0,1,l_web1_app2,app2,50000000,1,10000,2
96.7,app1,0,1,l_app1_db2,db2,20000000,1,5000,3
97.0,svc4,0,1,l_svc4_app4,app4,10000000,1,500,1
97.4,db3,0,1,l_db3_app4,app4,10000000,1,20000,2
97.7,db0,0,1,l_db0_app0,app0,50000000,1,5000,2
98.2,web1,0,1,l_web1_app1,app1,150000000,1,5000,2
98.7,db2,0,1,l_db2_app2,app2,50000000,1,20000,3
99.2,web0,0,1,l_web0_app1,app1,50000000,1,10000,1
99.5,app2,0,1,l_app2_web3,web3,5000000,1,20000,3
99.7,web0,0,1,l_web0_app0,app0,200000000,1,2000,3
100.3,svc1,0,1,l_svc1_app1,app1,200000000,1,20000,3
100.6,app1,0,1,l_app1_web1,web1,200000000,1,200,3
101.1,db0,0,1,l_db0_app1,app1,150000000,1,500,2
101.6,db3,0,1,l_db3_app4,app4,50000000,1,1000,2
102.0,web2,0,1,l_web2_app2,app2,75000000,1,10000,3
102.4,app4,0,1,l_app4_db4,db4,150000000,1,5000,2
102.9,web1,0,1,l_web1_app1,app1,50000000,1,10000,2
103.4,db4,0,1,l_db4_app4,app4,100000000,1,50000,3
103.7,web2,0,1,l_web2_app2,app2,20000000,1,80000,2
104.2,svc2,0,1,l_svc2_app2,app2,150000000,1,2000,1
104.6,db4,0,1,l_db4_app4,app4,100000000,1,200,2
105.1,app1,0,1,l_app1_db2,db2,20000000,1,50000,2
105.7,app2,0,1,l_app2_svc2,svc2,50000000,1,10000,3
106.1,web0,0,1,l_web0_app0,app0,10000000,1,20000,2
106.4,svc2,0,1,l_svc2_app2,app2,75000000,1,10000,2
106.8,app3,0,1,l_app3_web3,web3,75000000,1,500,1
107.3,db3,0,1,l_db3_app3,app3,50000000,1,2000,3
107.5,app3,0,1,l_app3_db3,db3,50000000,1,2000,3
107.9,web4,0,1,l_web4_app0,app0,150000000,1,10000,3
108.2,app2,0,1,l_app2_web2,web2,100000000,1,500,3
108.8,app3,0,1,l_app3_web4,web4,5000000,1,50000,3
109.2,svc4,0,1,l_svc4_app4,app4,5000000,1,20000,3
109.4,app1,0,1,l_app1_web1,web1,10000000,1,20000,2
109.8,db2,0,1,l_db2_app3,app3,5000000,1,20000,3
110.1,db4,0,1,l_db4_app0,app0,150000000,1,200,3
110.3,web1,0,1,l_web1_app1,app1,200000000,1,50000,1
110.8,web0,0,1,l_web0_app0,app0,50000000,1,2000,1
111.4,db0,0,1,l_db0_app0,app0,75000000,1,2000,2
111.6,app0,0,1,l_app0_db1,db1,100000000,1,2000,3
112.2,svc3,0,1,l_svc3_app3,app3,5000000,1,200,2
112.7,app0,0,1,l_app0_web0,web0,5000000,1,2000,2
113.0,app4,0,1,l_app4_svc4,svc4,5000000,1,50000,3
113.4,web0,0,1,l_web0_app0,app0,20000000,1,20000,1
113.6,web4,0,1,l_web4_app4,app4,150000000,1,5000,3
114.2,svc4,0,1,l_svc4_app4,app4,100000000,1,1000,2
114.4,svc2,0,1,l_svc2_app2,app2,20000000,1,2000,1
114.6,svc3,0,1,l_svc3_app3,app3,200000000,1,1000,2
114.9,app4,0,1,l_app4_svc4,svc4,5000000,1,80000,3
115.5,app3,0,1,l_app3_db3,db3,100000000,1,2000,3
115.8,app3,0,1,l_app3_svc3,svc3,5000000,1,1000,3
116.2,web2,0,1,l_web2_app2,app2,75000000,1,5000,3
116.7,app2,0,1,l_app2_svc2,svc2,100000000,1,80000,2
117.1,app0,0,1,l_app0_web1,web1,100000000,1,20000,3
117.5,web2,0,1,l_web2_app2,app2,5000000,1,2000,1
117.7,web2,0,1,l_web2_app3,app3,200000000,1,10000,3
118.2,app3,0,1,l_app3_db3,db3,20000000,1,5000,2
118.5,svc2,0,1,l_svc2_app2,app2,5000000,1,20000,2
119.0,app4,0,1,l_app4_db0,db0,50000000,1,20000,3
119.3,app0,0,1,l_app0_db1,db1,5000000,1,10000,2
119.7,app0,0,1,l_app0_web0,web0,150000000,1,5000,2
119.9,svc2,0,1,l_svc2_app2,app2,100000000,1,500,3
120.3,web4,0,1,l_web4_app0,app0,200000000,1,80000,3
120.7,db3,0,1,l_db3_app4,app4,20000000,1,10000,1
121.1,db3,0,1,l_db3_app3,app3,5000000,1,2000,3
121.4,app1,0,1,l_app1_web2,web2,20000000,1,20000,3
121.9,web0,0,1,l_web0_app1,app1,20000000,1,500,2
122.5,db1,0,1,l_db1_app2,app2,150000000,1,500,1
122.8,app1,0,1,l_app1_db1,db1,200000000,1,200,3
123.3,db2,0,1,l_db2_app2,app2,75000000,1,20000,1
123.8,app4,0,1,l_app4_svc4,svc4,50000000,1,5000,1
124.3,app0,0,1,l_app0_web0,web0,50000000,1,5000,1
124.7,app0,0,1,l_app0_web1,web1,200000000,1,1000,3
125.1,app3,0,1,l_app3_svc3,svc3,150000000,1,10000,3
125.7,app1,0,1,l_app1_web2,web2,5000000,1,2000,3
126.0,db4,0,1,l_db4_app0,app0,200000000,1,10000,1
126.5,web3,0,1,l_web3_app4,app4,75000000,1,5000,1
127.0,db4,0,1,l_db4_app4,app4,100000000,1,200,2
127.3,app4,0,1,l_app4_svc4,svc4,20000000,1,500,3
127.8,app4,0,1,l_app4_db4,db4,100000000,1,1000,2
128.3,app2,0,1,l_app2_web3,web3,150000000,1,20000,2
128.5,svc2,0,1,l_svc2_app2,app2,5000000,1,20000,3
128.8,app2,0,1,l_app2_web2,web2,200000000,1,2000,2
129.1,web2,0,1,l_web2_app3,app3,20000000,1,500,3
129.3,app0,0,1,l_app0_db0,db0,100000000,1,1000,3
129.9,app2,0,1,l_app2_db3,db3,200000000,1,10000,1
130.5,app4,0,1,l_app4_svc4,svc4,75000000,1,2000,2
130.7,app1,0,1,l_app1_db2,db2,150000000,1,1000,1
131.2,db3,0,1,l_db3_app4,app4,5000000,1,1000,1
131.7,web1,0,1,l_web1_app1,app1,5000000,1,50000,2
132.1,web0,0,1,l_web0_app0,app0,50000000,1,2000,2
132.6,web0,0,1,l_web0_app1,app1,100000000,1,500,2
133.1,web0,0,1,l_web0_app0,app0,50000000,1,5000,3
133.4,web2,0,1,l_web2_app3,app3,75000000,1,200,2
134.0,app3,0,1,l_app3_db3,db3,5000000,1,80000,3
134.3,web4,0,1,l_web4_app4,app4,50000000,1,200,3
134.9,app2,0,1,l_app2_db3,db3,5000000,1,200,3
135.4,db1,0,1,l_db1_app2,app2,10000000,1,200,3
136.0,app0,0,1,l_app0_web1,web1,100000000,1,80000,2
136.6,web4,0,1,l_web4_app4,app4,75000000,1,1000,3
137.0,db1,0,1,l_db1_app2,app2,5000000,1,5000,2
137.3,svc3,0,1,l_svc3_app3,app3,75000000,1,2000,3
137.7,db4,0,1,l_db4_app4,app4,75000000,1,500,2
138.1,app3,0,1,l_app3_svc3,svc3,20000000,1,50000,1
138.6,svc2,0,1,l_svc2_app2,app2,50000000,1,1000,2
138.9,app2,0,1,l_app2_web3,web3,5000000,1,5000,1
139.2,app0,0,1,l_app0_web0,web0,10000000,1,500,2
139.6,app2,0,1,l_app2_db3,db3,75000000,1,5000,2
140.2,svc3,0,1,l_svc3_app3,app3,150000000,1,1000,2
140.5,web1,0,1,l_web1_app1,app1,50000000,1,5000,1
141.1,app2,0,1,l_app2_svc2,svc2,150000000,1,200,1
141.6,web0,0,1,l_web0_app0,app0,100000000,1,500,1
142.0,svc0,0,1,l_svc0_app0,app0,200000000,1,1000,2
142.5,app4,0,1,l_app4_db4,db4,50000000,1,50000,3
142.8,app3,0,1,l_app3_db4,db4,100000000,1,2000,2
143.3,web2,0,1,l_web2_app2,app2,10000000,1,200,3
143.6,app1,0,1,l_app1_db2,db2,75000000,1,5000,1
144.0,app1,0,1,l_app1_svc1,svc1,10000000,1,200,3
144.3,app0,0,1,l_app0_web0,web0,50000000,1,2000,3
144.6,svc4,0,1,l_svc4_app4,app4,75000000,1,50000,2
144.8,db4,0,1,l_db4_app0,app0,75000000,1,10000,3
145.2,web3,0,1,l_web3_app4,app4,50000000,1,50000,2
145.7,svc1,0,1,l_svc1_app1,app1,100000000,1,500,3
146.0,app1,0,1,l_app1_db1,db1,50000000,1,1000,1
146.2,app0,0,1,l_app0_db1,db1,50000000,1,500,3
146.6,svc2,0,1,l_svc2_app2,app2,50000000,1,2000,1
147.1,db4,0,1,l_db4_app0,app0,20000000,1,10000,3
147.6,app1,0,1,l_app1_web2,web2,5000000,1,5000,2
147.9,db0,0,1,l_db0_app1,app1,20000000,1,20000,1
148.3,app4,0,1,l_app4_svc4,svc4,20000000,1,2000,3
148.8,db2,0,1,l_db2_app3,app3,20000000,1,20000,2
149.4,web3,0,1,l_web3_app4,app4,50000000,1,200,2
149.8,app3,0,1,l_app3_web4,web4,5000000,1,10000,2
150.4,db3,0,1,l_db3_app3,app3,200000000,1,1000,1
150.9,app1,0,1,l_app1_db1,db1,200000000,1,50000,3
151.3,svc2,0,1,l_svc2_app2,app2,100000000,1,80000,1
151.7,app1,0,1,l_app1_web1,web1,200000000,1,10000,2
152.0,app3,0,1,l_app3_db3,db3,100000000,1,1000,1
152.5,web4,0,1,l_web4_app0,app0,5000000,1,200,3
152.9,db0,0,1,l_db0_app0,app0,100000000,1,2000,1
153.1,app4,0,1,l_app4_svc4,svc4,5000000,1,1000,1
153.5,db4,0,1,l_db4_app4,app4,50000000,1,50000,3
154.0,db2,0,1,l_db2_app2,app2,50000000,1,80000,3
154.3,app4,0,1,l_app4_web4,web4,20000000,1,1000,1
154.7,app2,0,1,l_app2_svc2,svc2,150000000,1,500,3
155.1,app1,0,1,l_app1_db1,db1,150000000,1,200,2
155.4,app0,0,1,l_app0_db0,db0,20000000,1,50000,1
155.8,app0,0,1,l_app0_web1,web1,100000000,1,5000,3
156.3,svc1,0,1,l_svc1_app1,app1,150000000,1,2000,2
156.5,app2,0,1,l_app2_web3,web3,5000000,1,500,3
157.0,web1,0,1,l_web1_app2,app2,50000000,1,1000,2
157.3,app0,0,1,l_app0_db0,db0,200000000,1,10000,3
157.6,app3,0,1,l_app3_web4,web4,50000000,1,2000,3
158.0,app0,0,1,l_app0_db0,db0,75000000,1,80000,2
158.4,web1,0,1,l_web1_app1,app1,150000000,1,2000,2
158.9,web1,0,1,l_web1_app1,app1,20000000,1,80000,2
159.4,app1,0,1,l_app1_db1,db1,100000000,1,2000,3
159.6,app3,0,1,l_app3_web4,web4,200000000,1,2000,3
160.0,app3,0,1,l_app3_web3,web3,5000000,1,20000,2
160.2,db2,0,1,l_db2_app2,app2,50000000,1,20000,3
160.7,web2,0,1,l_web2_app2,app2,5000000,1,50000,1
161.2,app0,0,1,l_app0_db0,db0,5000000,1,200,3
161.4,app2,0,1,l_app2_svc2,svc2,200000000,1,200,1
161.7,web1,0,1,l_web1_app2,app2,200000000,1,20000,3
162.2,app1,0,1,l_app1_db1,db1,10000000,1,200,1
162.7,app4,0,1,l_app4_svc4,svc4,10000000,1,50000,2
163.1,app0,0,1,l_app0_web0,web0,75000000,1,2000,3
163.5,app0,0,1,l_app0_db0,db0,150000000,1,1000,3
164.0,app1,0,1,l_app1_web1,web1,200000000,1,20000,3
164.4,app3,0,1,l_app3_web4,web4,200000000,1,5000,2
165.0,db3,0,1,l_db3_app4,app4,100000000,1,500,3
165.5,svc1,0,1,l_svc1_app1,app1,200000000,1,50000,2
165.9,web1,0,1,l_web1_app1,app1,20000000,1,50000,2
166.3,app2,0,1,l_app2_db2,db2,100000000,1,2000,3
166.9,app0,0,1,l_app0_db1,db1,100000000,1,50000,3
167.2,app3,0,1,l_app3_db3,db3,50000000,1,1000,3
167.8,app4,0,1,l_app4_svc4,svc4,75000000,1,2000,2
168.3,app3,0,1,l_app3_svc3,svc3,50000000,1,20000,1
168.7,app2,0,1,l_app2_db2,db2,5000000,1,20000,2
169.3,app4,0,1,l_app4_db0,db0,5000000,1,2000,2
169.5,web2,0,1,l_web2_app2,app2,75000000,1,80000,3
170.0,app1,0,1,l_app1_svc1,svc1,200000000,1,5000,2
170.3,db0,0,1,l_db0_app0,app0,100000000,1,1000,2
